ID,Category,Channel,Title,URL,Duration,Views,Explanation_Type,Visuals,Examples,Analogies,Real_Life,Quality,Creator_Takeaways,duration_seconds,views_numeric,combined_text,has_analogy,has_example,has_visual,has_application,has_math,has_code,text_length,word_count,log_views,cluster
VID-011,Machine Learning (ML),Fireship,Machine Learning Explained in 100 Seconds,http://www.youtube.com/watch?v=PeMlggyqz0Y,2:35,1.1M+,High-Velocity Developer Micro-Overview,Kinetic typography; rapid code snippets (Python/Scikit-learn); terminal UI; meme iconography.,"Cat vs dog image classification, bread price inflation forecasting.",Hardcoded if-else logic vs organic experiential learning; model files as compiled binary artifacts.,"Autonomous driving obstacle perception, medical oncology scans.",Compressed broadcast voice; ~180 wpm delivery; synthwave soundtrack; visual cut every 1-2s.,Cut all introductory filler; pair every single technical noun with an on-screen visual element.,155,1100000.0,"Machine Learning Explained in 100 Seconds High-Velocity Developer Micro-Overview Kinetic typography; rapid code snippets (Python/Scikit-learn); terminal UI; meme iconography. Cat vs dog image classification, bread price inflation forecasting. Hardcoded if-else logic vs organic experiential learning; model files as compiled binary artifacts. Autonomous driving obstacle perception, medical oncology scans. Cut all introductory filler; pair every single technical noun with an on-screen visual element.",1,1,1,1,0,1,502,62,13.910821646859096,8
VID-012,Machine Learning (ML),IBM Technology,"AI, Machine Learning, Deep Learning and Generative AI Explained",http://www.youtube.com/watch?v=qYNweeDHiyU,10:01,3.5M+,Conversational Lightboard Lecture & Taxonomy,Live glowing neon marker drawings on an illuminated glass lightboard; Venn diagrams; timelines.,"Geometric pattern sequence prediction puzzles, history of Lisp/Prolog expert systems.",Russian Nesting Dolls hierarchy; GenAI as musical composition recombining pre-existing notes.,"Enterprise IT anomaly detection, voice cloning parodies.",Crisp lapel mic; 4K camera through glass; zero reflections; professional executive delivery.,Draw live while talking to keep visual attention glued; address common community misunderstandings.,601,3500000.0,"AI, Machine Learning, Deep Learning and Generative AI Explained Conversational Lightboard Lecture & Taxonomy Live glowing neon marker drawings on an illuminated glass lightboard; Venn diagrams; timelines. Geometric pattern sequence prediction puzzles, history of Lisp/Prolog expert systems. Russian Nesting Dolls hierarchy; GenAI as musical composition recombining pre-existing notes. Enterprise IT anomaly detection, voice cloning parodies. Draw live while talking to keep visual attention glued; address common community misunderstandings.",1,1,1,1,0,0,541,68,15.068273812173889,6
VID-013,Machine Learning (ML),IBM Technology,Supervised vs. Unsupervised Learning,http://www.youtube.com/watch?v=W01tIRP_Rqs,7:08,383K+,Taxonomic Comparison & Structural Contrast,Split-screen lightboard diagram comparing labeled input-output pairs against unlabeled data clusters.,Housing price prediction based on square footage (Supervised) vs customer discovery (Unsupervised).,Classroom student with a teacher checking answers vs explorer mapping an uncharted island.,"Credit card fraud detection, e-commerce customer cohort grouping.",Evenly modulated broadcast vocals; vibrant neon diagrams against pitch-black backdrop.,Use split-screen visual parallelism to contrast complementary paradigms side by side.,428,383000.0,"Supervised vs. Unsupervised Learning Taxonomic Comparison & Structural Contrast Split-screen lightboard diagram comparing labeled input-output pairs against unlabeled data clusters. Housing price prediction based on square footage (Supervised) vs customer discovery (Unsupervised). Classroom student with a teacher checking answers vs explorer mapping an uncharted island. Credit card fraud detection, e-commerce customer cohort grouping. Use split-screen visual parallelism to contrast complementary paradigms side by side.",1,1,1,1,0,0,524,64,12.855792879125431,8
VID-014,Machine Learning (ML),IBM Technology,Neural Networks Explained in 5 minutes,http://www.youtube.com/watch?v=jmmW0F0biz0,4:32,746K+,Rapid Architecture Breakdown,"Input, hidden, and output layer node connection drawings with weighted line thickness variations.",Recognizing shapes and handwritten letters from raw pixel inputs.,Passing messages through an assembly line of specialized factory workers.,"Smartphone face unlock, automated driving vision systems.",High-fidelity studio recording; concise script delivery; zero hesitation.,Limit architectural overviews to five core minutes by focusing strictly on input-hidden-output data flow.,272,746000.0,"Neural Networks Explained in 5 minutes Rapid Architecture Breakdown Input, hidden, and output layer node connection drawings with weighted line thickness variations. Recognizing shapes and handwritten letters from raw pixel inputs. Passing messages through an assembly line of specialized factory workers. Smartphone face unlock, automated driving vision systems. Limit architectural overviews to five core minutes by focusing strictly on input-hidden-output data flow.",1,1,1,1,0,0,469,62,13.522482219667571,3
VID-015,Machine Learning (ML),Simplilearn,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning,http://www.youtube.com/watch?v=ukzFI9rgwfU,7:52,5.5M+,Narrative Motion-Graphic Character Storytelling,2D cartoon character animation ('Paul'); coordinate grids with circular decision boundaries.,Paul's song preferences (tempo vs intensity); sorting coins by weight; clustering cricket players.,Teaching a child through positive and negative feedback loops (reinforcement learning).,Uber real-time dynamic surge pricing; Netflix recommendations; Facebook photo tag tagging.,Neutral corporate voiceover; upbeat commercial soundtrack; fluid vector keyframing.,Anchor algorithms in a named character persona ('Paul') with an immediate relatable dilemma.,472,5500000.0,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning Narrative Motion-Graphic Character Storytelling 2D cartoon character animation ('Paul'); coordinate grids with circular decision boundaries. Paul's song preferences (tempo vs intensity); sorting coins by weight; clustering cricket players. Teaching a child through positive and negative feedback loops (reinforcement learning). Uber real-time dynamic surge pricing; Netflix recommendations; Facebook photo tag tagging. Anchor algorithms in a named character persona ('Paul') with an immediate relatable dilemma.,1,1,1,1,0,0,591,75,15.520258832020865,4
VID-016,Machine Learning (ML),freeCodeCamp.org,Machine Learning for Everybody – Full Course,http://www.youtube.com/watch?v=i_LwzRVP7bg,3:53:53,10.5M+,Comprehensive Hands-on Code-Along Tutorial,Jupyter Notebook screencasts; Python/pandas code execution; matplotlib scatter plots; terminal logs.,Predicting diabetes diagnoses from patient clinical health metrics; wine quality classification.,Mathematical models as customizable recipes adjusted according to taste test results.,"Healthcare diagnosis pipelines, automated banking customer verification.",Clear direct-to-cardioid microphone; screen captures rendered in full 1080p with enlarged IDE font.,Ensure all code displayed on screen is copy-paste reproducible with zero missing dependencies.,14033,10500000.0,"Machine Learning for Everybody – Full Course Comprehensive Hands-on Code-Along Tutorial Jupyter Notebook screencasts; Python/pandas code execution; matplotlib scatter plots; terminal logs. Predicting diabetes diagnoses from patient clinical health metrics; wine quality classification. Mathematical models as customizable recipes adjusted according to taste test results. Healthcare diagnosis pipelines, automated banking customer verification. Ensure all code displayed on screen is copy-paste reproducible with zero missing dependencies.",1,1,1,1,1,1,539,64,16.166885910365842,8
VID-017,Machine Learning (ML),freeCodeCamp.org,Essential Machine Learning and AI Concepts Animated,http://www.youtube.com/watch?v=PcbuKRNtCUc,27:52:00,342K+,Comprehensive Animated Lexicon & Glossary,Minimalist 2D motion graphics; formula highlights; loss landscape valleys; coordinate transforms.,Manhattan taxi distance vs Euclidean straight line; SVM maximum-margin hyperplane.,Manhattan distance as driving a city grid vs Euclidean as flying like a crow.,"Urban GPS navigation, medical imaging anomaly detection, cosine text matching.",Consistent studio narration; balanced audio leveling; modular indexed chapter breaks.,Standardize the visual design language across all definitions to minimize cognitive fatigue.,100320,342000.0,"Essential Machine Learning and AI Concepts Animated Comprehensive Animated Lexicon & Glossary Minimalist 2D motion graphics; formula highlights; loss landscape valleys; coordinate transforms. Manhattan taxi distance vs Euclidean straight line; SVM maximum-margin hyperplane. Manhattan distance as driving a city grid vs Euclidean as flying like a crow. Urban GPS navigation, medical imaging anomaly detection, cosine text matching. Standardize the visual design language across all definitions to minimize cognitive fatigue.",1,1,1,1,1,0,524,69,12.742568940017076,4
VID-018,Machine Learning (ML),Visually Explained,Support Vector Machine (SVM) in 2 minutes,http://www.youtube.com/watch?v=_YPScrckx28,2:19,952K+,Ultra-Dense Geometric Micro-Animation,Slick 2D/3D hyperplane animations; margin street boundaries; support vector highlight lines.,Classifying two distinct clusters of colored points with maximum separating distance.,Building a wide highway between two conflicting rival cities so they have maximum separation buffer.,"Face detection boundary boxes, protein classification in bioinformatics.","Deep, calm, studio-mastered voiceover; rhythmic editing synchronized to visual rotations.",Strip out all spoken filler; let mathematical animation do the heavy lifting in under 150 seconds.,139,952000.0,"Support Vector Machine (SVM) in 2 minutes Ultra-Dense Geometric Micro-Animation Slick 2D/3D hyperplane animations; margin street boundaries; support vector highlight lines. Classifying two distinct clusters of colored points with maximum separating distance. Building a wide highway between two conflicting rival cities so they have maximum separation buffer. Face detection boundary boxes, protein classification in bioinformatics. Strip out all spoken filler; let mathematical animation do the heavy lifting in under 150 seconds.",1,1,1,1,1,0,531,71,13.766321364193118,7
VID-019,Machine Learning (ML),Normalized Nerd,Decision Tree Classification Clearly Explained!,http://www.youtube.com/watch?v=ZVR2Way4nwQ,10:33,946K+,Mathematical Intuition with Step-by-step Math,Hand-animated digital whiteboard; stepwise Gini Impurity and Entropy formulas solved step by step.,"Deciding whether to play tennis based on weather outlook, humidity, and wind speed.",Purifying a messy mixture: measuring how clean each separation scoop makes the remaining liquid.,"Sports match weather cancellations, automated loan approval engines.","Warm, educational Indian accent with clear articulation; clean tablet screencast.",Work through concrete arithmetic calculations on screen so viewers see where abstract numbers come from.,633,946000.0,"Decision Tree Classification Clearly Explained! Mathematical Intuition with Step-by-step Math Hand-animated digital whiteboard; stepwise Gini Impurity and Entropy formulas solved step by step. Deciding whether to play tennis based on weather outlook, humidity, and wind speed. Purifying a messy mixture: measuring how clean each separation scoop makes the remaining liquid. Sports match weather cancellations, automated loan approval engines. Work through concrete arithmetic calculations on screen so viewers see where abstract numbers come from.",1,1,1,1,1,0,547,73,13.759998905115909,8
VID-020,Machine Learning (ML),CrashCourse,Neural Networks and Deep Learning: Crash Course AI #3,http://www.youtube.com/watch?v=oV3ZY6tJiA0,12:23,411K+,Entertaining Cultural & Conceptual Education,ThoughtBubble custom character animations; historical archival photos; dynamic infographics.,Training a neural network to recognize pictures of cats versus muffins and Chihuahuas.,"A team of detectives where each detective specializes in one clue (whiskers, ears, fur).","Photo search engines, self-driving vision systems.",High-production TV studio lighting; multi-camera angles; rapid comedic and educational delivery.,Interweave cultural humor and historical anecdotes to keep broad non-technical audiences invested.,743,411000.0,"Neural Networks and Deep Learning: Crash Course AI #3 Entertaining Cultural & Conceptual Education ThoughtBubble custom character animations; historical archival photos; dynamic infographics. Training a neural network to recognize pictures of cats versus muffins and Chihuahuas. A team of detectives where each detective specializes in one clue (whiskers, ears, fur). Photo search engines, self-driving vision systems. Interweave cultural humor and historical anecdotes to keep broad non-technical audiences invested.",1,1,1,1,0,0,517,68,12.926350926565435,4
VID-021,Machine Learning (ML),codebasics,"Neural Network Simply Explained | Deep Learning Tutorial 4 (Tensorflow2.0, Keras & Python)",http://www.youtube.com/watch?v=ER2It2mIagI,11:01,655K+,Applied Engineering & Spreadsheet Math,Excel spreadsheet calculations of weighted sums alongside interactive neuron diagrams.,"Predicting whether someone will buy insurance based on age, affordability, and credit score.",Neuron as a digital voting booth where each voter's ballot has a different weight.,"Insurance premium pricing, retail loan eligibility.",Engaging conversational Indian English; crystal-clear tablet drawing and screen capture.,Prototype the neural network calculation inside a familiar spreadsheet (Excel) before moving to Python code.,661,655000.0,"Neural Network Simply Explained | Deep Learning Tutorial 4 (Tensorflow2.0, Keras & Python) Applied Engineering & Spreadsheet Math Excel spreadsheet calculations of weighted sums alongside interactive neuron diagrams. Predicting whether someone will buy insurance based on age, affordability, and credit score. Neuron as a digital voting booth where each voter's ballot has a different weight. Insurance premium pricing, retail loan eligibility. Prototype the neural network calculation inside a familiar spreadsheet (Excel) before moving to Python code.",1,1,1,1,1,1,553,76,13.39239204133378,4
VID-022,Machine Learning (ML),IBM Technology,What are Convolutional Neural Networks (CNNs)?,http://www.youtube.com/watch?v=QzY57FaENXg,6:21,875K+,Computer Vision Lightboard Breakdown,Sliding kernel filter matrices moving across pixel grids on lightboard; feature maps; pooling layers.,"Detecting edges, vertical lines, and curves to recognize motorbikes and cars in pictures.",Looking through a tiny magnifying glass sliding across a jigsaw puzzle to identify small pieces.,"Medical MRI scanning, autonomous vehicle obstacle segmentation.",Ultra-sharp 4K video; vibrant lightboard sketches; seamless speaker delivery.,Physically illustrate how the kernel window shifts one pixel at a time to demystify convolution.,381,875000.0,"What are Convolutional Neural Networks (CNNs)? Computer Vision Lightboard Breakdown Sliding kernel filter matrices moving across pixel grids on lightboard; feature maps; pooling layers. Detecting edges, vertical lines, and curves to recognize motorbikes and cars in pictures. Looking through a tiny magnifying glass sliding across a jigsaw puzzle to identify small pieces. Medical MRI scanning, autonomous vehicle obstacle segmentation. Physically illustrate how the kernel window shifts one pixel at a time to demystify convolution.",1,1,1,1,0,0,533,74,13.68198030819624,3
VID-023,Machine Learning (ML),deeplizard,Convolutional Neural Networks (CNNs) explained,http://www.youtube.com/watch?v=YRhxdVk_sIs,8:37,1.5M+,Structured Visual Curriculum Lecture,Color-coded kernel dot product matrices; max pooling 2x2 grids; flattened dense layers.,Classifying images of cats vs dogs using pixel activation grids.,Max pooling as a summarizer that keeps only the loudest voice in the room and discards the rest.,"Mobile photo face tagging, quality inspection on factory conveyor belts.",Polished audio with noise gating; smooth animated transitions; consistent pastel slide deck.,Combine visual matrix multiplications with color-matching to make arithmetic tracking effortless.,517,1500000.0,"Convolutional Neural Networks (CNNs) explained Structured Visual Curriculum Lecture Color-coded kernel dot product matrices; max pooling 2x2 grids; flattened dense layers. Classifying images of cats vs dogs using pixel activation grids. Max pooling as a summarizer that keeps only the loudest voice in the room and discards the rest. Mobile photo face tagging, quality inspection on factory conveyor belts. Combine visual matrix multiplications with color-matching to make arithmetic tracking effortless.",1,1,1,1,1,0,504,70,14.220976332738882,3
VID-024,Machine Learning (ML),IBM Technology,The Power of Recurrent Neural Networks (RNN),http://www.youtube.com/watch?v=Gafjk7_w1i8,7:47,96K+,Sequential Architecture Walkthrough,Unfolded timeline diagram of neural network loop states from time step t-1 to t+1.,Predicting the next word in a sentence; stock market price fluctuations.,Short-term human working memory: retaining what was said in the first sentence to understand the second.,"Audio transcription services, financial ticker trend analysis.",Clear lightboard presentation; impeccable vocal articulation; high visual contrast.,Unfold loop diagrams across horizontal time steps so sequential memory becomes visually obvious.,467,96000.0,"The Power of Recurrent Neural Networks (RNN) Sequential Architecture Walkthrough Unfolded timeline diagram of neural network loop states from time step t-1 to t+1. Predicting the next word in a sentence; stock market price fluctuations. Short-term human working memory: retaining what was said in the first sentence to understand the second. Audio transcription services, financial ticker trend analysis. Unfold loop diagrams across horizontal time steps so sequential memory becomes visually obvious.",1,1,1,1,0,0,501,71,11.472113887062386,6
VID-025,Machine Learning (ML),StatQuest with Josh Starmer,"Long Short-Term Memory (LSTM), Clearly Explained",http://www.youtube.com/watch?v=YCzL96nL7j0,20:45,1.0M+,Cell Gate Mechanics & Internal Intuition,"Cell memory pipeline with Forget Gate, Input Gate, and Output Gate valves illustrated with math.",Predicting word sequences across paragraphs where early context changes later meaning.,A high-school student reading a textbook with a highlighter (input gate) and an eraser (forget gate).,"Language translation, long-horizon weather forecasting.",Enthusiastic pedagogical delivery; acoustic guitar interludes; clean minimalist vector graphics.,Deconstruct complex multi-gate architectures into isolated one-valve operations before combining them.,1245,1000000.0,"Long Short-Term Memory (LSTM), Clearly Explained Cell Gate Mechanics & Internal Intuition Cell memory pipeline with Forget Gate, Input Gate, and Output Gate valves illustrated with math. Predicting word sequences across paragraphs where early context changes later meaning. A high-school student reading a textbook with a highlighter (input gate) and an eraser (forget gate). Language translation, long-horizon weather forecasting. Deconstruct complex multi-gate architectures into isolated one-valve operations before combining them.",1,1,1,1,1,0,534,70,13.815511557963774,6
VID-026,Machine Learning (ML),3-Minute Data Science,Linear Regression in 3 Minutes,http://www.youtube.com/watch?v=3dhcmeOTZ_Q,3:55,384K+,Fast Micro-Derivation,2D scatter plane with animated slope and intercept adjusting to minimize sum of squared errors.,Predicting apartment rental price based on square footage.,Adjusting a taut rubber band between scattered pins until total tension is minimized.,"Real estate appraisal formulas, temperature forecasting.","Rapid, clear vocal delivery; high-contrast minimalist diagrams; zero fluff.",Visualize the line rotating to minimize residual squares before stating y = mx + b.,235,384000.0,"Linear Regression in 3 Minutes Fast Micro-Derivation 2D scatter plane with animated slope and intercept adjusting to minimize sum of squared errors. Predicting apartment rental price based on square footage. Adjusting a taut rubber band between scattered pins until total tension is minimized. Real estate appraisal formulas, temperature forecasting. Visualize the line rotating to minimize residual squares before stating y = mx + b.",1,1,1,1,0,0,434,64,12.85840043573314,8
VID-027,Machine Learning (ML),IBM Technology,Why Linear regression for Machine Learning?,http://www.youtube.com/watch?v=qxo8p8PtFeA,3:59,97K+,Lightboard Foundational Rationale,Trendline on lightboard illustrating interpretability vs black-box complexity.,Predicting car fuel efficiency from vehicle weight.,A glass clock where every gear is visible versus an opaque digital watch.,Regulatory compliance in banking where decisions must be legally explainable.,High-clarity studio microphone; luminous marker contrast; steady cadence.,Highlight interpretability as linear regression's superpower in production.,239,97000.0,Why Linear regression for Machine Learning? Lightboard Foundational Rationale Trendline on lightboard illustrating interpretability vs black-box complexity. Predicting car fuel efficiency from vehicle weight. A glass clock where every gear is visible versus an opaque digital watch. Regulatory compliance in banking where decisions must be legally explainable. Highlight interpretability as linear regression's superpower in production.,1,1,1,1,0,0,436,55,11.48247656671073,8
