ID,Title,Category,Channel,Duration,Views,cluster,explanation_description_richness,content_coverage,technical_depth,richness_percentile,coverage_percentile,technical_percentile
VID-024,The Power of Recurrent Neural Networks (RNN),Machine Learning (ML),IBM Technology,7:47,96K+,3,0.2508275795946098,0.6666666666666666,0.2307692307692307,9.8,22.1,75.5
VID-025,"Long Short-Term Memory (LSTM), Clearly Explained",Machine Learning (ML),StatQuest with Josh Starmer,20:45,1.0M+,3,0.2881703778534196,0.8333333333333334,0.0769230769230769,20.0,67.9,35.699999999999996
VID-026,Linear Regression in 3 Minutes,Machine Learning (ML),3-Minute Data Science,3:55,384K+,4,0.1955751113806229,0.6666666666666666,0.0,1.0,22.1,10.7
VID-027,Why Linear regression for Machine Learning?,Machine Learning (ML),IBM Technology,3:59,97K+,8,0.1653719142579902,0.6666666666666666,0.0,0.4,22.1,10.7
VID-028,Logistic Regression in 3 Minutes,Machine Learning (ML),3-Minute Data Science,3:48,233K+,8,0.2229979935597194,0.8333333333333334,0.0769230769230769,4.6,67.9,35.699999999999996
VID-029,Machine Learning Crash Course: Gradient Descent,Machine Learning (ML),Google for Developers,2:12,201K+,7,0.2225693317742544,0.6666666666666666,0.0769230769230769,4.3999999999999995,22.1,35.699999999999996
VID-030,What is Random Forest?,Machine Learning (ML),IBM Technology,5:21,323K+,8,0.2267195292783014,0.6666666666666666,0.0,5.6000000000000005,22.1,10.7
VID-031,Natural Language Processing In 5 Minutes | What Is NLP And How Does It Work?,Natural Language Processing (NLP),Simplilearn,5:29,860K+,3,0.240254492128281,0.6666666666666666,0.0769230769230769,7.3999999999999995,22.1,35.699999999999996
VID-032,What is NLP (Natural Language Processing)?,Natural Language Processing (NLP),IBM Technology,9:38,547K+,3,0.2405442479037574,0.6666666666666666,0.0,7.6,22.1,10.7
VID-033,Natural Language Processing - Tokenization (NLP Zero to Hero - Part 1),Natural Language Processing (NLP),TensorFlow,4:39,543K+,3,0.2191936375017364,0.8333333333333334,0.1538461538461538,3.8,67.9,59.9
VID-034,Tokens vs Embeddings – what are they + how are they different?,Natural Language Processing (NLP),Annie Sexton,6:52,50K+,3,0.3364233074500458,0.8333333333333334,0.2307692307692307,39.0,67.9,75.5
VID-035,"Word Embedding and Word2Vec, Clearly Explained!!!",Natural Language Processing (NLP),StatQuest with Josh Starmer,16:12,597K+,3,0.3002035517535459,0.8333333333333334,0.1538461538461538,23.799999999999997,67.9,59.9
VID-036,The Illustrated Word2vec - A Gentle Intro to Word Embeddings in Machine Learning,Natural Language Processing (NLP),Jay Alammar,8:44,80K+,3,0.2258689730724302,0.8333333333333334,0.1538461538461538,5.2,67.9,59.9
VID-037,"What is Word2Vec? A Simple Explanation | Deep Learning Tutorial 41 (Tensorflow, Keras & Python)",Natural Language Processing (NLP),codebasics,18:28,242K+,3,0.2872539216284376,1.0,0.3846153846153846,19.8,95.89999999999999,92.5
VID-038,What are Transformers (Machine Learning Model)?,Natural Language Processing (NLP),IBM Technology,5:51,801K+,3,0.3048603673686298,1.0,0.3076923076923077,26.400000000000002,95.89999999999999,85.9
VID-039,"Transformers, the tech behind LLMs | Deep Learning Chapter 5",Natural Language Processing (NLP),3Blue1Brown,27:14:00,11.1M+,3,0.2851919512784816,0.8333333333333334,0.3846153846153846,19.2,67.9,92.5
VID-040,"Attention in transformers, step-by-step | Deep Learning Chapter 6",Natural Language Processing (NLP),3Blue1Brown,26:10:00,4.5M+,3,0.3127233864760824,0.8333333333333334,0.1538461538461538,29.4,67.9,59.9
VID-041,"Transformers, explained: Understand the model behind GPT, BERT, and T5",Natural Language Processing (NLP),Google Cloud Tech,9:11,1.2M+,3,0.261482699543604,0.6666666666666666,0.4615384615384615,12.6,22.1,95.6
VID-042,Transformers Step-by-Step Explained (Attention Is All You Need),Natural Language Processing (NLP),ByteByteGo,10:04,124K+,2,0.2286551664191881,0.6666666666666666,0.3846153846153846,6.0,22.1,92.5
VID-043,BERT Neural Network - EXPLAINED!,Natural Language Processing (NLP),CodeEmporium,11:37,505K+,3,0.2205168023516207,0.6666666666666666,0.0769230769230769,4.0,22.1,35.699999999999996
VID-044,"Attention for Neural Networks, Clearly Explained!!!",Natural Language Processing (NLP),StatQuest with Josh Starmer,15:51,464K+,3,0.311341795754036,0.8333333333333334,0.3076923076923077,29.2,67.9,85.9
VID-045,Calculate TF-IDF in NLP (Simple Example),Natural Language Processing (NLP),Data Science Garage,8:22,143K+,0,0.2773531206127778,0.8333333333333334,0.0769230769230769,16.8,67.9,35.699999999999996
VID-046,NLP Basics Explained: Tokenization & Embeddings,Natural Language Processing (NLP),CodeCraft Academy,7:16,809,3,0.2093581313053099,0.8333333333333334,0.1538461538461538,2.6,67.9,59.9
VID-047,What are Word Embeddings?,Natural Language Processing (NLP),IBM Technology,8:38,277K+,3,0.3053991569322484,0.8333333333333334,0.0769230769230769,26.6,67.9,35.699999999999996
VID-048,Word Embedding - Natural Language Processing,Natural Language Processing (NLP),Krish Naik,15:10,219K+,3,0.3274510332731548,0.8333333333333334,0.1538461538461538,35.199999999999996,67.9,59.9
VID-049,BERT vs GPT,Natural Language Processing (NLP),CodeEmporium,1:00,449K+,3,0.3363856186157612,0.6666666666666666,0.1538461538461538,38.800000000000004,22.1,59.9
VID-050,Language Processing with BERT: The 3 Minute Intro,Natural Language Processing (NLP),Jay Alammar,6:10,109K+,3,0.3131379345616496,0.6666666666666666,0.1538461538461538,30.0,22.1,59.9
VID-051,What is BERT and how does it work?,Natural Language Processing (NLP),AssemblyAI,8:56,87K+,3,0.2645560180255517,0.8333333333333334,0.2307692307692307,13.200000000000001,67.9,75.5
VID-052,How Attention Mechanism Works in Transformer Architecture,Natural Language Processing (NLP),Under The Hood,22:10,139K+,3,0.3717451377698175,0.8333333333333334,0.3076923076923077,48.4,67.9,85.9
VID-053,Word Embeddings: TF-IDF,Natural Language Processing (NLP),Hex,5:26,17K+,0,0.1704230521692023,0.8333333333333334,0.1538461538461538,0.6,67.9,59.9
VID-054,Term Frequency Inverse Document Frequency (TF-IDF) Explained,Natural Language Processing (NLP),DataMListic,8:59,43K+,0,0.2147256928932918,0.8333333333333334,0.0,3.2,67.9,10.7
VID-055,Sequence-to-Sequence (seq2seq) Encoder-Decoder Neural Networks,Natural Language Processing (NLP),StatQuest with Josh Starmer,16:50,374K+,3,0.2280644541398514,0.8333333333333334,0.3846153846153846,5.800000000000001,67.9,92.5
VID-056,Large Language Models explained briefly,Large Language Models (LLM),3Blue1Brown,7:58,7.5M+,3,0.2746119161747904,1.0,0.0769230769230769,16.0,95.89999999999999,35.699999999999996
VID-057,[1hr Talk] Intro to Large Language Models,Large Language Models (LLM),Andrej Karpathy,59:48:00,4.1M+,9,0.3734069074204238,1.0,0.0,48.8,95.89999999999999,10.7
VID-058,Deep Dive into LLMs like ChatGPT,Large Language Models (LLM),Andrej Karpathy,3:31:24,9.4M+,2,0.373645210237376,0.6666666666666666,0.0,49.0,22.1,10.7
VID-059,How Large Language Models Work,Large Language Models (LLM),IBM Technology,5:34,1.6M+,3,0.2622775568535925,0.6666666666666666,0.0769230769230769,12.8,22.1,35.699999999999996
VID-060,Prompt Engineering Tutorial – Master ChatGPT and LLM Responses,Large Language Models (LLM),freeCodeCamp.org,41:36:00,2.8M+,2,0.3895539272483552,1.0,0.1538461538461538,54.0,95.89999999999999,59.9
VID-061,Google's 9 Hour AI Prompt Engineering Course In 20 Minutes,Large Language Models (LLM),Tina Huang,20:17,2.1M+,2,0.3362950432289169,0.6666666666666666,0.0,38.6,22.1,10.7
VID-062,Optimize Your AI - Quantization Explained,Large Language Models (LLM),Matt Williams,12:10,528K+,9,0.3203681978824471,0.6666666666666666,0.0,32.800000000000004,22.1,10.7
VID-063,How ChatGPT Works Technically | ChatGPT Architecture,Large Language Models (LLM),ByteByteGo,7:54,948K+,2,0.3318800362024939,0.6666666666666666,0.1538461538461538,36.4,22.1,59.9
VID-064,What is Mixture of Experts?,Large Language Models (LLM),IBM Technology,7:58,68K+,7,0.3876651318149178,0.8333333333333334,0.0769230769230769,53.400000000000006,67.9,35.699999999999996
VID-065,"Reinforcement Learning with Human Feedback (RLHF), Clearly Explained!!!",Large Language Models (LLM),StatQuest with Josh Starmer,18:02,69K+,1,0.2348818562087822,0.6666666666666666,0.0769230769230769,6.6000000000000005,22.1,35.699999999999996
VID-066,How KV Cache Speeds Up LLMs for Faster AI Models on GPUs,Large Language Models (LLM),IBM Technology,11:15,153K+,9,0.3367968741087728,0.8333333333333334,0.2307692307692307,39.2,67.9,75.5
VID-067,"AI Agents, Clearly Explained",Large Language Models (LLM),Jeff Su,10:09,4.9M+,2,0.3650295022778979,0.6666666666666666,0.0,47.0,22.1,10.7
VID-068,LangChain Explained in 13 Minutes | QuickStart Tutorial for Beginners,Large Language Models (LLM),Rabbitmetrics,12:44,1.1M+,2,0.2784015247183469,0.8333333333333334,0.1538461538461538,17.0,67.9,59.9
VID-069,LangChain Crash Course For Beginners | LangChain Tutorial,Large Language Models (LLM),codebasics,46:07:00,703K+,2,0.2686070371478075,0.8333333333333334,0.2307692307692307,14.399999999999999,67.9,75.5
VID-070,Positional embeddings in transformers EXPLAINED | Demystifying positional encodings.,Large Language Models (LLM),AI Coffee Break with Letitia,9:40,95K+,3,0.2979699931694919,0.8333333333333334,0.3076923076923077,22.2,67.9,85.9
VID-071,LLM Explained | What is LLM,Large Language Models (LLM),codebasics,4:17,461K+,2,0.3130824207071794,0.8333333333333334,0.3076923076923077,29.599999999999998,67.9,85.9
VID-072,Everything You Need To Know About Large Language Models (LLMs),Large Language Models (LLM),Matthew Berman,25:20:00,514K+,2,0.3043620422604827,0.8333333333333334,0.0769230769230769,25.8,67.9,35.699999999999996
VID-073,Fine-tuning Large Language Models (LLMs) | w/ Example Code,Large Language Models (LLM),Shaw Talebi,28:18:00,576K+,3,0.3207869699674735,0.8333333333333334,0.3076923076923077,33.2,67.9,85.9
VID-074,How To Fine-Tune A Large Language Model (Step-By-Step),Large Language Models (LLM),Matt Wolfe,28:20:00,40K+,2,0.3204311162548808,0.6666666666666666,0.0,33.0,22.1,10.7
VID-075,Prompt Engineering Full Course,Large Language Models (LLM),Tech With Tim,37:44:00,298K+,2,0.3018713767413016,0.8333333333333334,0.0769230769230769,24.6,67.9,35.699999999999996
VID-076,How LLMs survive in low precision | Quantization Fundamentals,Large Language Models (LLM),Julia Turc,20:34,72K+,9,0.3780006091296227,0.8333333333333334,0.1538461538461538,50.4,67.9,59.9
VID-077,ChatGPT Explained Completely.,Large Language Models (LLM),Kyle Hill,27:39:00,1.4M+,3,0.2792734627455743,0.6666666666666666,0.1538461538461538,17.599999999999998,22.1,59.9
VID-078,A Visual Guide to Mixture of Experts (MoE) in LLMs,Large Language Models (LLM),Maarten Grootendorst,19:44,69K+,2,0.2119855610278214,0.6666666666666666,0.0769230769230769,2.8000000000000003,22.1,35.699999999999996
VID-079,Reinforcement Learning from Human Feedback (RLHF) Explained,Large Language Models (LLM),IBM Technology,11:29,100K+,1,0.2792964846633671,0.6666666666666666,0.0769230769230769,17.8,22.1,35.699999999999996
VID-080,The KV Cache: Memory Usage in Transformers,Large Language Models (LLM),Efficient NLP,8:33,136K+,9,0.2787006007626987,0.8333333333333334,0.0769230769230769,17.4,67.9,35.699999999999996
VID-081,What is Retrieval-Augmented Generation (RAG)?,Retrieval-Augmented Generation (RAG),IBM Technology,6:36,2.0M+,0,0.3083364723605931,0.6666666666666666,0.0769230769230769,28.000000000000004,22.1,35.699999999999996
VID-082,RAG Explained For Beginners,Retrieval-Augmented Generation (RAG),KodeKloud,10:09,740K+,0,0.3967029635889243,0.8333333333333334,0.0769230769230769,56.2,67.9,35.699999999999996
VID-083,Learn RAG From Scratch – Python AI Tutorial from a LangChain Engineer,Retrieval-Augmented Generation (RAG),freeCodeCamp.org,2:33:11,1.6M+,2,0.3217481470773243,0.8333333333333334,0.3076923076923077,33.4,67.9,85.9
VID-084,What is a Vector Database? Powering Semantic Search & AI Applications,Retrieval-Augmented Generation (RAG),IBM Technology,9:49,950K+,0,0.4035372373332381,0.8333333333333334,0.0,59.4,67.9,10.7
VID-085,Vector Databases simply explained! (Embeddings & Indexes),Retrieval-Augmented Generation (RAG),AssemblyAI,4:23,683K+,0,0.2950988515070897,0.8333333333333334,0.0769230769230769,21.8,67.9,35.699999999999996
VID-086,Every RAG Strategy Explained in 13 Minutes (No Fluff),Retrieval-Augmented Generation (RAG),Cole Medin,12:51,133K+,0,0.3608488354161174,0.8333333333333334,0.0769230769230769,46.0,67.9,35.699999999999996
VID-087,Advanced RAG techniques for developers,Retrieval-Augmented Generation (RAG),Google Cloud Tech,8:17,93K+,0,0.4117927774445123,0.8333333333333334,0.0769230769230769,62.4,67.9,35.699999999999996
VID-088,RAG vs Fine-Tuning vs Prompt Engineering: Optimizing AI Models,Retrieval-Augmented Generation (RAG),IBM Technology,13:10,722K+,2,0.3939663522793992,1.0,0.0769230769230769,54.800000000000004,95.89999999999999,35.699999999999996
VID-089,GraphRAG vs. Traditional RAG: Higher Accuracy & Insight with LLM,Retrieval-Augmented Generation (RAG),IBM Technology,4:17,208K+,0,0.382182096278077,0.8333333333333334,0.0,51.6,67.9,10.7
VID-090,Chunking Strategies in RAG: Optimising Data for Advanced AI Responses,Retrieval-Augmented Generation (RAG),Mervin Praison,14:02,136K+,0,0.3932182045725526,0.6666666666666666,0.0,54.6,22.1,10.7
VID-091,Rerank for better RAG (Explained),Retrieval-Augmented Generation (RAG),vectorize,13:39,49K+,0,0.4464569228933197,0.6666666666666666,0.4615384615384615,70.8,22.1,95.6
VID-092,Build an Agentic RAG Pipeline with LangGraph + ChromaDB (Step-by-Step Tutorial),Retrieval-Augmented Generation (RAG),AI Bites,27:20:00,5.0K+,0,0.3810188057778245,0.8333333333333334,0.3076923076923077,51.4,67.9,85.9
VID-093,What is Agentic RAG?,Retrieval-Augmented Generation (RAG),IBM Technology,5:42,349K+,2,0.3166693302138021,0.8333333333333334,0.0769230769230769,31.4,67.9,35.699999999999996
VID-094,Build a RAG pipeline in LlamaIndex (simple),Retrieval-Augmented Generation (RAG),AWS Developers,9:40,460K+,0,0.2633245865020721,0.8333333333333334,0.2307692307692307,13.0,67.9,75.5
VID-095,RAG Explained | All about RAG - Retrieval Augmented Generation,Retrieval-Augmented Generation (RAG),codebasics,14:36,100K+,0,0.2735417844874938,0.6666666666666666,0.0769230769230769,15.2,22.1,35.699999999999996
VID-096,AI Explained: What is RAG - Retrieval Augmented Generation?,Retrieval-Augmented Generation (RAG),Morten Rand-Hendriksen,2:57,35K+,0,0.1408569068462231,0.6666666666666666,0.0,0.2,22.1,10.7
VID-097,Retrieval Augmented Generation (RAG) Explained in 8 Minutes!,Retrieval-Augmented Generation (RAG),ritvikmath,8:12,20K+,0,0.2092699495340562,0.8333333333333334,0.1538461538461538,2.4,67.9,59.9
VID-098,RAG Crash Course for Beginners,Retrieval-Augmented Generation (RAG),KodeKloud,58:50:00,285K+,0,0.2556131220343537,1.0,0.2307692307692307,11.200000000000001,95.89999999999999,75.5
VID-099,Introduction To Understanding RAG(Retrieval-Augmented Generation),Retrieval-Augmented Generation (RAG),Krish Naik,20:40,398K+,0,0.221434896765396,0.8333333333333334,0.0769230769230769,4.2,67.9,35.699999999999996
VID-100,What is RAG ? | Completely Explained in 15 Minutes,Retrieval-Augmented Generation (RAG),Apna College,17:24,871K+,0,0.2048574009831002,0.8333333333333334,0.1538461538461538,1.7999999999999998,67.9,59.9
VID-101,How to Build a RAG System That Actually Works,Retrieval-Augmented Generation (RAG),Better Stack,12:48,43K+,0,0.3264657592884398,0.8333333333333334,0.0,34.4,67.9,10.7
VID-102,Is RAG Still Needed? Choosing the Best Approach for LLMs,Retrieval-Augmented Generation (RAG),IBM Technology,11:10,988K+,0,0.3009247692581278,0.8333333333333334,0.0769230769230769,24.2,67.9,35.699999999999996
VID-103,Graph RAG: Improving RAG with Knowledge Graphs,Retrieval-Augmented Generation (RAG),Prompt Engineering,15:58,144K+,0,0.2951074583173234,1.0,0.3076923076923077,22.0,95.89999999999999,85.9
VID-104,GraphRAG: The Marriage of Knowledge Graphs and RAG: Emil Eifrem,Retrieval-Augmented Generation (RAG),AI Engineer,19:15,287K+,0,0.3154407530018009,0.6666666666666666,0.0,30.599999999999998,22.1,10.7
VID-105,RAG Reranking Explained: How To Improve RAG Results,Retrieval-Augmented Generation (RAG),pixegami,14:25,15K+,0,0.2914795764451667,1.0,0.2307692307692307,21.2,95.89999999999999,75.5
VID-106,Build an Agentic RAG System with LangGraph,Retrieval-Augmented Generation (RAG),AI Anytime,18:23,4.0K+,0,0.3197813266431515,1.0,0.1538461538461538,32.4,95.89999999999999,59.9
VID-107,Introduction to LlamaIndex with Python (2025),Retrieval-Augmented Generation (RAG),Alejandro AO,39:57:00,73K+,0,0.2258640222608253,1.0,0.0769230769230769,5.0,95.89999999999999,35.699999999999996
VID-108,LangChain vs LlamaIndex (2025) - Which One is Better?,Retrieval-Augmented Generation (RAG),Digibase Media,3:09,25K+,0,0.2854028980117739,0.6666666666666666,0.0769230769230769,19.400000000000002,22.1,35.699999999999996
VID-109,But how do AI images and videos actually work? | Guest video by Welch Labs,Generative AI & Diffusion Models,3Blue1Brown,37:20:00,2.1M+,5,0.3346898857584841,0.8333333333333334,0.0769230769230769,37.8,67.9,35.699999999999996
VID-110,Diffusion models explained in 4-difficulty levels,Generative AI & Diffusion Models,AssemblyAI,7:08,175K+,5,0.274601332569055,0.6666666666666666,0.0769230769230769,15.8,22.1,35.699999999999996
VID-111,Diffusion Models for AI Image Generation,Generative AI & Diffusion Models,IBM Technology,12:05,97K+,5,0.2807474268083954,0.6666666666666666,0.0769230769230769,18.4,22.1,35.699999999999996
VID-112,What are Diffusion Models?,Generative AI & Diffusion Models,Ari Seff,15:28,329K+,5,0.298091866308228,0.8333333333333334,0.0769230769230769,22.6,67.9,35.699999999999996
VID-113,How AI Image Generators Work (Stable Diffusion / Dall-E) - Computerphile,Generative AI & Diffusion Models,Computerphile,17:50,1.1M+,5,0.2706834507430633,0.6666666666666666,0.0,14.799999999999999,22.1,10.7
VID-114,Stable Diffusion explained (in less than 10 minutes),Generative AI & Diffusion Models,Render Realm,9:56,132K+,5,0.2531856968024347,0.6666666666666666,0.3076923076923077,10.4,22.1,85.9
VID-115,What are GANs (Generative Adversarial Networks)?,Generative AI & Diffusion Models,IBM Technology,8:23,517K+,5,0.2593456362408604,0.6666666666666666,0.0769230769230769,11.799999999999999,22.1,35.699999999999996
VID-116,Generative Adversarial Networks (GANs) - Computerphile,Generative AI & Diffusion Models,Computerphile,21:21,679K+,5,0.1928534331038476,0.6666666666666666,0.0769230769230769,0.8,22.1,35.699999999999996
VID-117,Variational Autoencoders | Generative AI Animated,Generative AI & Diffusion Models,Deepia,20:09,254K+,5,0.2989417262242482,0.8333333333333334,0.2307692307692307,23.400000000000002,67.9,75.5
VID-118,Variational Autoencoders,Generative AI & Diffusion Models,Arxiv Insights,15:05,594K+,7,0.304274872970978,0.8333333333333334,0.1538461538461538,25.6,67.9,59.9
VID-119,Vision Transformers Explained | The ViT Paper,Advanced Neural Architectures,AI Papers Academy,4:32,12.5K+,6,0.2382855441947758,0.6666666666666666,0.1538461538461538,6.800000000000001,22.1,59.9
VID-120,Vision Transformers - Explained!,Advanced Neural Architectures,CodeEmporium,22:21,16K+,6,0.3406614563774027,0.8333333333333334,0.3076923076923077,40.400000000000006,67.9,85.9
VID-121,Graph Neural Networks - a perspective from the ground up,Advanced Neural Architectures,Alex Foo,14:28,294K+,7,0.2520728596555505,0.6666666666666666,0.0769230769230769,10.0,22.1,35.699999999999996
VID-122,Graph Neural Networks Explained: A Clear Guide to GNN Basics & Models,Advanced Neural Architectures,IBM Technology,16:47,33K+,7,0.2565637050464303,0.6666666666666666,0.0769230769230769,11.4,22.1,35.699999999999996
VID-123,MAMBA and State Space Models explained | SSM explained,Advanced Neural Architectures,AI Coffee Break with Letitia,22:27,95K+,9,0.3180251672726678,0.6666666666666666,0.2307692307692307,31.8,22.1,75.5
VID-124,Intuition behind Mamba and State Space Models | Enhancing LLMs!,Advanced Neural Architectures,Maarten Grootendorst,24:06:00,42K+,9,0.3131198710860355,0.6666666666666666,0.0769230769230769,29.799999999999997,22.1,35.699999999999996
VID-125,Residual Networks and Skip Connections (DL 15),Advanced Neural Architectures,Professor Bryce,17:00,97K+,7,0.2474038718446671,0.8333333333333334,0.6923076923076923,9.0,67.9,99.5
VID-126,ResNet (actually) explained in under 10 minutes,Advanced Neural Architectures,rupert ai,9:47,216K+,7,0.3503004776853601,0.8333333333333334,0.2307692307692307,43.2,67.9,75.5
VID-127,CrewAI Tutorial: Complete Crash Course for Beginners,Agentic AI & Multi-Agent Systems,aiwithbrandon,1:05:43,312K+,2,0.3500170352558068,0.8333333333333334,0.1538461538461538,43.0,67.9,59.9
VID-128,CrewAI Tutorial | Agentic AI Tutorial,Agentic AI & Multi-Agent Systems,codebasics,1:11:04,126K+,2,0.2611955004872311,0.6666666666666666,0.0769230769230769,12.4,22.1,35.699999999999996
VID-129,Agentic Framework LangGraph explained in 8 minutes | Beginners Guide,Agentic AI & Multi-Agent Systems,W.W. AI Adventures,8:04,147K+,2,0.3746520601461659,0.8333333333333334,0.1538461538461538,49.6,67.9,59.9
VID-130,LangChain vs LangGraph: A Tale of Two Frameworks,Agentic AI & Multi-Agent Systems,IBM Technology,9:55,633K+,2,0.3520526257586268,0.6666666666666666,0.0,43.8,22.1,10.7
VID-131,AutoGen Tutorial 🚀 Create Custom AI Agents EASILY (Incredible),Agentic AI & Multi-Agent Systems,Matthew Berman,20:10,385K+,2,0.3188854524600187,0.8333333333333334,0.3846153846153846,32.0,67.9,92.5
VID-132,Model Context Protocol (MCP) Explained in 20 Minutes,Agentic AI & Multi-Agent Systems,Shaw Talebi,19:49,221K+,2,0.2911343793056704,0.8333333333333334,0.0769230769230769,21.0,67.9,35.699999999999996
VID-133,Model Context Protocol (MCP) Explained for Beginners: AI Flight Booking Demo!,Agentic AI & Multi-Agent Systems,KodeKloud,24:10:00,1.3M+,2,0.3061672795734235,0.6666666666666666,0.0,27.0,22.1,10.7
VID-134,Model Context Protocol Clearly Explained | MCP Beyond the Hype,Agentic AI & Multi-Agent Systems,codebasics,15:04,567K+,9,0.2784441905943335,0.8333333333333334,0.0769230769230769,17.2,67.9,35.699999999999996
VID-135,"AI Agents In-Depth – Function Calling, MCP and Tool Use Under the Hood - Alan Smith",Agentic AI & Multi-Agent Systems,NDC Conferences,1:01:26,5.2K+,2,0.3445791936994047,0.8333333333333334,0.0769230769230769,41.199999999999996,67.9,35.699999999999996
VID-136,The Best RAG Technique Yet? Anthropic’s Contextual Retrieval Explained!,Advanced Retrieval & Search,Prompt Engineering,16:14,138K+,0,0.3599950858151488,0.6666666666666666,0.0,45.6,22.1,10.7
VID-137,Supercharge Your RAG with Contextualized Late Interactions,Advanced Retrieval & Search,Prompt Engineering,17:45,19K+,0,0.4453037395648566,0.8333333333333334,0.0769230769230769,70.39999999999999,67.9,35.699999999999996
